"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2024","17,638.7","17,696.4","17,717.5","17,613.3","","-0.28%"
"06/03/2024","17,688.5","17,632.9","17,699.6","17,571.4","","0.44%"
"05/31/2024","17,611.2","17,613.6","17,684.9","17,561.4","","0.04%"
"05/30/2024","17,604.2","17,456.0","17,634.8","17,444.7","","0.90%"
"05/29/2024","17,447.4","17,468.9","17,550.0","17,452.0","","-0.07%"
"05/28/2024","17,460.3","17,445.0","17,521.2","17,435.3","","0.13%"
"05/27/2024","17,437.9","17,357.5","17,459.4","17,342.3","","0.56%"
"05/24/2024","17,341.2","17,295.1","17,365.5","17,279.9","","0.30%"
"05/23/2024","17,290.0","17,308.7","17,371.1","17,279.1","","-0.07%"
"05/22/2024","17,302.8","17,360.4","17,388.6","17,299.1","","-0.29%"
"05/21/2024","17,352.3","17,347.3","17,417.5","17,340.1","","0.10%"
"05/20/2024","17,335.4","17,336.7","17,395.4","17,332.7","","-0.01%"
"05/17/2024","17,337.7","17,304.1","17,365.6","17,287.2","","0.23%"
"05/16/2024","17,297.1","17,445.9","17,462.8","17,285.0","","-0.81%"
"05/15/2024","17,438.4","17,418.6","17,448.3","17,344.2","","0.19%"
"05/14/2024","17,406.2","17,347.1","17,430.7","17,334.1","","0.37%"
"05/13/2024","17,341.7","17,286.1","17,378.5","17,274.8","","0.40%"
"05/10/2024","17,273.5","17,299.7","17,313.4","17,263.6","","-0.11%"
"05/09/2024","17,292.7","17,243.6","17,305.3","17,205.9","","0.33%"
"05/08/2024","17,236.6","17,254.8","17,287.9","17,222.7","","-0.07%"
"05/07/2024","17,247.8","17,258.9","17,309.3","17,244.4","","-0.01%"
"05/06/2024","17,250.3","17,309.6","17,325.7","17,208.1","","-0.28%"
"05/03/2024","17,298.9","17,361.7","17,391.6","17,251.4","","-0.31%"
"05/02/2024","17,353.1","17,416.1","17,435.0","17,275.9","","-0.32%"
"05/01/2024","17,409.1","17,342.1","17,452.7","17,315.3","","0.43%"
"04/30/2024","17,334.3","17,431.9","17,456.7","17,339.7","","-0.48%"
"04/29/2024","17,418.4","17,336.6","17,445.0","17,331.7","","0.53%"
"04/26/2024","17,326.4","17,372.4","17,432.2","17,301.7","","-0.22%"
"04/25/2024","17,364.9","17,284.2","17,389.0","17,275.3","","0.52%"
"04/24/2024","17,275.7","17,357.0","17,379.7","17,249.5","","-0.42%"
"04/23/2024","17,348.4","17,298.4","17,376.1","17,276.1","","0.35%"
"04/22/2024","17,288.2","17,321.3","17,344.9","17,246.4","","-0.14%"
"04/19/2024","17,312.8","17,217.5","17,357.9","17,167.3","","0.60%"
"04/18/2024","17,209.7","17,311.6","17,316.5","17,211.8","","-0.54%"
"04/17/2024","17,303.0","17,177.0","17,323.0","17,164.9","","0.79%"
"04/16/2024","17,167.7","16,833.7","17,233.7","16,806.0","","2.04%"
"04/15/2024","16,825.3","16,854.3","16,900.3","16,826.6","","-0.19%"
"04/12/2024","16,856.9","16,996.1","17,002.5","16,830.6","","-0.76%"
"04/11/2024","16,986.8","17,023.9","17,045.3","16,951.8","","-0.15%"
"04/10/2024","17,012.2","17,202.9","17,219.6","16,999.3","","-1.06%"
"04/09/2024","17,194.3","17,206.1","17,248.9","17,187.1","","-0.02%"
"04/08/2024","17,197.5","17,180.7","17,212.4","17,144.3","","0.20%"
"04/05/2024","17,162.6","17,221.1","17,237.4","17,098.3","","-0.31%"
"04/04/2024","17,216.8","17,246.1","17,287.1","17,214.0","","-0.16%"
"04/03/2024","17,243.9","17,124.3","17,253.3","17,113.9","","0.75%"
"04/02/2024","17,115.7","17,071.4","17,136.2","17,048.1","","0.30%"
"04/01/2024","17,065.3","17,104.4","17,177.7","17,050.8","","-0.22%"
